13:22; lunes; abril 20; 2026
Nombre de estudio:Análisis estático 1
Unidades: mm
Referencia seleccionada: Todos
Nodo  ;X (mm)  ;Y (mm)  ;Z (mm)  ;UX (mm)
8988  ;-2,79282  ;0  ;7,86686  ;-7,33877e-07
5341  ;-5,66129  ;0  ;6,33645  ;-7,33893e-07
9364  ;-4,34117  ;0  ;6,3348  ;-7,33896e-07
5532  ;-6,76815  ;0  ;7,8104  ;-7,34164e-07
9352  ;-3,23982  ;0  ;7,80975  ;-7,34186e-07
6853  ;-4,07172  ;0  ;6,81091  ;-7,34191e-07
5598  ;-5,93066  ;0  ;6,81265  ;-7,34192e-07
85  ;-8,10045  ;0  ;8,18996  ;-7,34210e-07
79  ;-1,89895  ;0  ;8,18914  ;-7,34269e-07
125  ;-5,00092  ;0  ;6,36  ;-7,34349e-07
8375  ;-0,434705  ;0  ;8,24165  ;-7,34376e-07
5600  ;-6,03798  ;0  ;7,33262  ;-7,34420e-07
5615  ;-3,97083  ;0  ;7,33188  ;-7,34477e-07
5614  ;-3,73982  ;0  ;7,80975  ;-7,34561e-07
8412  ;-7,55023  ;0  ;8,22895  ;-7,34565e-07
8970  ;-6,26815  ;0  ;7,8104  ;-7,34573e-07
6907  ;-9,55888  ;0  ;8,30485  ;-7,34576e-07
8989  ;-2,44947  ;0  ;8,22854  ;-7,34639e-07
116  ;-4,46201  ;0  ;7,31221  ;-7,34802e-07
118  ;-5,53967  ;0  ;7,31239  ;-7,34812e-07
8969  ;-5,76983  ;0  ;7,79017  ;-7,34829e-07
5616  ;-4,231  ;0  ;7,79008  ;-7,34835e-07
9043  ;-5,2703  ;0  ;6,83619  ;-7,34836e-07
86  ;-7  ;0  ;8,26795  ;-7,34842e-07
7578  ;-1,38418  ;0  ;8,33621  ;-7,34844e-07
9042  ;-4,73147  ;0  ;6,8361  ;-7,34850e-07
80  ;-3  ;0  ;8,26795  ;-7,34872e-07
9031  ;-5,00084  ;0  ;7,3123  ;-7,34984e-07
9028  ;-5,26983  ;0  ;7,79017  ;-7,34990e-07
3194  ;-6,5  ;0  ;8,26795  ;-7,34990e-07
8857  ;-4,731  ;0  ;7,79008  ;-7,35005e-07
8429  ;-8,60911  ;0  ;8,39983  ;-7,35046e-07
8405  ;-3,5  ;0  ;8,26795  ;-7,35074e-07
81  ;-4  ;0  ;8,26795  ;-7,35084e-07
78  ;-6  ;0  ;8,26795  ;-7,35097e-07
9027  ;-5,5  ;0  ;8,26795  ;-7,35190e-07
82  ;-5  ;0  ;8,26795  ;-7,35217e-07
7343  ;-4,5  ;0  ;8,26795  ;-7,35232e-07
46  ;-0,86941  ;0  ;8,48329  ;-7,35578e-07
